time,ax,ay,az,aT
4.1690,-13.5975,-0.4297,1.9683,13.746
4.1830,-12.6294,0.9436,5.8515,13.951
4.2060,-10.3889,3.7252,10.3439,15.126
4.2080,-9.1275,5.5613,12.7769,16.658
4.2090,-8.6189,7.7902,15.3552,19.255
4.2190,-8.4342,7.6103,15.1957,18.973
4.2290,-11.5965,9.9932,14.7905,21.286
4.2380,-11.3992,9.8589,14.7206,21.067
4.2530,-11.9521,11.0267,15.5944,22.531
4.2830,-2.9276,16.9404,22.2766,28.139
4.2870,-3.0763,17.0120,22.2491,28.176
4.2910,8.8318,18.9938,24.1677,31.982
4.2920,10.3740,23.4222,22.8524,34.329
4.3040,10.3510,17.0997,13.4909,24.115
4.3310,10.7206,12.8261,14.7478,22.292
4.3330,10.4183,10.0038,15.3394,21.069
4.3340,9.3497,5.9832,15.6627,19.197
4.3380,9.3018,2.3634,15.2549,18.023
4.3570,9.6886,-0.7521,14.5374,17.486
4.3600,8.3169,-3.7151,12.4825,15.453
4.3690,4.7946,-6.5579,8.9469,12.085
4.3790,3.1195,-8.3209,6.6608,11.106
4.3880,3.1282,-8.3143,6.6881,11.119
4.4000,1.5149,-12.0738,1.0556,12.214
4.4300,1.4540,-12.0549,1.0003,12.183
4.4320,-0.4923,-14.6876,-1.9764,14.828
4.4660,-2.1753,-15.4640,-0.0072,15.616
4.4690,-3.0061,-15.5848,0.2684,15.874
4.4710,-3.1328,-15.5028,0.2200,15.818
4.4740,-2.8068,-15.9325,-1.5555,16.252
4.4750,-2.3565,-15.3486,-2.4067,15.714
4.4800,-2.9017,-13.8270,-2.5578,14.358
4.4930,-2.9047,-11.6817,-2.1174,12.222
4.5000,-2.2588,-10.1762,-1.7074,10.563
4.5230,-1.6578,-8.2835,-1.5474,8.588
4.5250,-1.8137,-6.5518,-1.7920,7.030
4.5300,-0.4257,-3.9926,-1.5589,4.307
4.5390,2.3183,-1.4169,-0.6039,2.783
4.5560,2.2901,-1.3153,-0.5054,2.689
4.5780,5.7836,2.1290,1.9692,6.470
4.5790,5.4272,5.1667,3.4110,8.233
4.5800,1.1962,6.5933,6.5933,9.401
4.5890,1.2106,6.5023,6.4846,9.263
4.6000,0.1858,11.6138,12.1034,16.775
4.6120,0.2053,11.5279,12.0013,16.642
4.6200,5.9207,18.9771,14.9342,24.864
4.6520,8.0690,21.5645,15.0798,27.523
4.6550,8.0438,21.5796,15.0543,27.514
4.6570,8.2109,22.1473,16.5792,28.858
4.6600,1.1821,16.9089,12.7433,21.206
4.6710,1.1773,16.9097,12.7344,21.201
4.6810,-4.6531,9.5410,4.6474,11.588
