time,ax,ay,az,aT
4.2990,-4.3158,-10.4489,-0.3070,11.309
4.3190,-5.7259,-10.3921,-1.7262,11.990
4.3530,-6.2072,-10.4031,-4.2062,12.824
4.3560,-6.7110,-10.3142,-5.8102,13.608
4.3590,-7.2482,-10.0111,-6.9594,14.184
4.3610,-7.3124,-9.6179,-7.1736,14.051
4.3650,-6.7368,-9.5183,-6.7068,13.452
4.3780,-5.9543,-9.3634,-5.9320,12.582
4.3800,-5.0974,-8.6722,-5.0640,11.262
4.3880,-4.7444,-8.1551,-4.3467,10.388
4.4030,-4.5648,-7.6260,-2.8619,9.337
4.4110,-4.2131,-6.6325,-0.9277,7.912
4.4200,-3.4931,-5.4073,0.9947,6.514
4.4280,-1.9198,-3.4294,3.0377,4.967
4.4440,1.9007,-0.2692,6.6634,6.934
4.4540,5.6663,2.6823,9.3084,11.223
4.4700,10.0292,7.1737,11.7779,17.052
4.4720,12.3918,11.1141,11.0789,19.996
4.4810,15.8931,13.4407,8.1063,22.337
4.5050,17.5534,14.4483,4.5873,23.193
4.5180,15.7638,14.7703,1.0479,21.628
4.5230,12.9865,13.9478,-0.7702,19.073
4.5250,8.5367,12.0677,-1.9480,14.910
4.5340,4.1528,10.2624,-1.7238,11.204
4.5460,0.9314,8.9657,-0.6190,9.035
4.5500,-2.0588,7.7143,1.1940,8.073
4.5810,-4.4479,6.8047,2.9615,8.652
4.5820,-5.6604,6.0910,4.0166,9.234
4.5840,-6.2001,5.2408,4.8311,9.447
4.5940,-6.5693,4.3303,4.9761,9.310
4.6020,-6.9227,3.5368,4.2849,8.877
4.6230,-7.0787,2.8776,3.1266,8.256
4.6540,-7.3058,2.0471,1.2148,7.684
4.6560,-7.5215,1.4667,-0.1433,7.665
4.6590,-7.8908,0.7629,-1.5806,8.084
4.6610,-8.1849,-0.0160,-2.6339,8.598
4.6870,-8.6235,-0.7735,-3.6387,9.392
4.6900,-9.0709,-1.4732,-4.5594,10.259
4.6900,-9.5195,-2.2046,-5.4600,11.193
4.6940,-9.6079,-2.6433,-5.9454,11.604
4.7030,-9.5112,-2.8818,-6.2277,11.728
4.7120,-8.7561,-2.6147,-6.0528,10.961
4.7230,-7.6972,-2.0834,-5.3080,9.579
4.7320,-6.5594,-1.0125,-3.8104,7.653
4.7470,-4.8467,0.5988,-2.0909,5.312
4.7520,-4.0082,1.4728,-1.1874,4.432
4.7630,-3.7708,2.3868,-0.7658,4.528
4.7720,-3.8239,3.5816,-0.8825,5.313
4.7830,-3.6494,4.4309,-0.7481,5.789
4.8200,-2.8923,6.2500,0.5891,6.912
4.8210,-0.6503,8.9786,4.1805,9.925
4.8210,1.4411,11.1591,6.9456,13.223
4.8230,5.0352,13.2437,9.1808,16.883
4.8340,7.3751,14.0955,9.0864,18.320
4.8670,8.5052,13.8827,7.3484,17.862
4.8680,8.7277,12.9045,6.3290,16.815
4.8680,7.4629,11.1706,6.3615,14.864
4.8720,6.7662,9.7617,7.2951,13.939
4.8830,6.5728,8.2280,8.7279,13.678
4.8990,6.6148,6.6495,9.4949,13.346
4.9020,6.9667,4.2991,9.5814,12.602
4.9290,7.1384,1.7737,9.1894,11.771
4.9300,6.3510,-1.5466,8.6263,10.823
4.9320,5.7515,-3.9148,8.3019,10.832
4.9440,4.7435,-6.3473,8.0074,11.265
4.9790,3.2597,-8.1065,8.1191,11.927
4.9800,2.4802,-9.0980,8.5453,12.726
4.9800,2.9514,-9.6235,8.7818,13.358
4.9850,3.7300,-9.6068,8.2632,13.209
4.9950,3.8908,-9.7165,7.3905,12.813
5.0040,3.9856,-10.0502,6.0456,12.387
5.0300,3.5542,-10.7626,4.1231,12.061
5.0390,2.2448,-11.5134,2.4344,11.980
5.0430,0.4417,-12.0652,0.7167,12.095
5.0610,-1.6581,-12.1848,-1.2060,12.356
5.0660,-3.4840,-12.4383,-2.7827,13.213
5.0710,-4.9872,-13.1689,-5.3052,15.048
5.0750,-6.6424,-14.0988,-7.4318,17.266
5.0830,-8.5947,-14.9150,-8.6636,19.271
5.0980,-10.5114,-15.4528,-9.0077,20.747
5.1380,-11.4081,-14.7964,-8.0590,20.348
5.1400,-10.1915,-13.5785,-6.4954,18.178
5.1410,-7.6818,-11.9027,-4.3961,14.833
5.1410,-5.9029,-10.1412,-2.8862,12.084
5.1530,-4.3472,-7.6138,-1.4633,8.889
5.1560,-3.1581,-5.1708,-0.6636,6.095
5.1770,-1.0897,-2.5618,-0.6941,2.869
5.1790,0.4570,-1.1667,-1.3993,1.878
5.2040,1.8469,0.0036,-2.6583,3.237
5.2050,3.0658,0.6136,-4.2734,5.295
5.2060,3.3067,0.5962,-5.4230,6.380
5.2120,1.9747,0.2516,-5.4499,5.802
5.2260,-0.2191,-0.0242,-4.0944,4.100
5.2340,-0.9851,0.6937,-1.5369,1.953
5.2430,0.0728,2.9032,2.9749,4.157
5.2620,4.6240,6.4253,8.3080,11.476
5.3010,11.9452,9.8101,12.9373,20.157
5.3040,18.6378,15.4386,17.2625,29.727
5.3070,21.8586,20.4781,19.3515,35.660
5.3090,22.4310,19.9446,16.8453,34.420
5.3210,20.3056,17.4764,11.6474,29.213
5.3250,14.6772,13.9381,6.6967,21.320
5.3270,9.4231,10.8544,3.1575,14.717
5.3340,5.3710,8.7571,2.0864,10.483
5.3490,2.4859,7.5441,2.3863,8.294
5.4030,1.7071,6.9405,2.6431,7.620
5.4040,1.2393,6.2976,2.5057,6.890
5.4040,0.7354,5.7763,2.0931,6.188
5.4050,-0.6160,5.0103,1.4183,5.243
5.4050,-1.7805,3.8962,1.0471,4.410
5.4070,-2.8298,2.3020,1.4538,3.927
5.4170,-3.3599,1.2517,2.0824,4.146
5.4230,-3.7923,0.0777,2.7791,4.702
5.4380,-4.0579,-1.0131,2.8978,5.088
5.4430,-4.4490,-2.1840,2.4261,5.518
5.4580,-4.7228,-2.9158,1.6107,5.779
5.4870,-5.5294,-3.5258,0.3175,6.566
5.4880,-6.4994,-3.7585,-0.5219,7.526
